분	신	종목명	거래대금	현재가	등락률	거래량	종목코드
2024-11-13. 목							
신		한화시스템	"79,459"	"23,100"	"-1.28"	"3,450,719"	'272210
신		아주IB투자	"100,254"	"2,810"	"7.87"	"34,717,513"	'027360
신		한글과컴퓨터	"74,304"	"25,300"	"1.20"	"2,927,740"	'030520
신		한화오션	"290,730"	"35,000"	"-2.78"	"8,353,851"	'042660
신		비에이치아이	"56,146"	"16,960"	"2.48"	"3,370,174"	'083650
신		TYM	"5,989"	"4,375"	"-4.68"	"1,369,091"	'002900
2024-11-15. 금							
신		전진건설로봇	"20,888"	"26,550"	"-10.61"	"751,936"	'079900
증		펩트론	"39,866"	"81,100"	"-4.48"	"490,826"	'087010
신		에스와이	"2,463"	"4,170"	"-0.36"	"592,609"	'109610
증		SG	"22,610"	"2,995"	"-7.13"	"7,440,385"	'255220
신		에스와이스틸텍	"31,185"	"7,750"	"-3.85"	"3,909,412"	'365330
신		원익홀딩스	"2,960"	"2,450"	"-4.67"	"1,198,628"	'030530
신		루닛	"115,102"	"68,000"	"1.49"	"1,705,082"	'328130
		다산네트웍스	"2,305"	"3,840"	"1.59"	"607,485"	'039560
		유진로봇	"3,018"	"6,780"	"-4.37"	"438,509"	'056080
		차이커뮤니케이션	"13,165"	"12,600"	"-1.41"	"1,010,404"	'351870
2024-11-18. 월.							
증		HLB	"51,853"	"71,800"	"-2.45"	"719,613"	'028300
증		HLB테라퓨틱스	"7,211"	"10,610"	"-3.19"	"674,583"	'115450
신		와이제이링크	"37,587"	"12,850"	"-4.32"	"2,709,101"	'209640
신		루닛	"115,102"	"68,000"	"1.49"	"1,705,082"	'328130
신		SG글로벌	"1,792"	"2,650"	"-3.28"	"668,830"	'001380
증		신성델타테크	"28,189"	"65,400"	"-3.54"	"426,803"	'065350
증		HLB생명과학	"5,053"	"10,400"	"1.17"	"496,372"	'067630
증		휴마시스	"6,008"	"1,833"	"-3.02"	"3,232,391"	'205470
신		퓨런티어	"17,283"	"23,850"	"-4.98"	"690,579"	'370090
신		SK이터닉스	"2,650"	"13,110"	"-3.82"	"199,522"	'475150
2024-11-19. 화.							
신		우리바이오	"9,877"	"3,100"	"0.32"	"3,180,101"	'082850
신		비에이치아이	"56,146"	"16,960"	"2.48"	"3,370,174"	'083650
신		아톤	"8,898"	"5,210"	"-2.07"	"1,738,636"	'158430
신		하이젠알앤엠	"15,768"	"10,450"	"-8.73"	"1,392,871"	'160190
신		SK이노베이션	"26,525"	"114,600"	"-2.47"	"229,589"	'096770
신		로보티즈	"6,282"	"21,800"	"-4.80"	"283,719"	'108490
2024-11-20. 수.							
신		한일단조	"71,890"	"2,980"	"11.19"	"23,893,467"	'024740
신		셀바스헬스케어	"9,453"	"5,120"	"-3.03"	"1,864,808"	'208370
신		셀바스AI	"17,917"	"14,440"	"1.69"	"1,265,354"	'108860
		쓰리빌리언	"119,599"	"6,310"	"1.28"	"18,315,781"	'394800
신		바이오플러스	"9,097"	"5,640"	"2.36"	"1,576,317"	'099430
증		셀리드	"30,985"	"5,140"	"-10.14"	"5,258,797"	'299660
		에이럭스	"24,056"	"9,320"	"-2.82"	"2,587,674"	'475580
2024-11-21. 목							
신		대동	"8,834"	"10,440"	"-5.78"	"835,435"	'000490
관		삼부토건	"34,608"	"1,055"	"-8.34"	"32,045,682"	'001470
신		한미글로벌	"13,780"	"18,230"	"-3.34"	"749,025"	'053690
신		대동기어	"13,721"	"11,210"	"-4.19"	"1,223,078"	'008830
		컴투스홀딩스	"8,936"	"32,600"	"-1.81"	"272,362"	'063080
증		강스템바이오텍	"6,927"	"2,560"	"-0.78"	"2,594,387"	'217730
2024-11-22. 금.							
신		성광벤드	"15,434"	"20,550"	"2.24"	"758,375"	'014620
신		YG PLUS	"12,407"	"4,850"	"0.41"	"2,564,611"	'037270
신		비에이치아이	"56,146"	"16,960"	"2.48"	"3,370,174"	'083650
신		티디에스팜	"21,897"	"16,720"	"0.42"	"1,307,017"	'464280
증		CJ 바이오사이언스	"5,104"	"11,370"	"-4.93"	"447,965"	'311690
주		에스피소프트	"11,556"	"8,550"	"-6.35"	"1,344,198"	'443670
2024-11-25. 월. 닥3?							
신		가온전선	"56,459"	"45,100"	"0.45"	"1,181,685"	'000500
증		네이처셀	"24,341"	"22,900"	"2.92"	"1,091,785"	'007390
신		LS ELECTRIC	"28,397"	"144,000"	"0.21"	"200,152"	'010120
신		루닛	"115,102"	"68,000"	"1.49"	"1,705,082"	'328130
		쓰리빌리언	"119,599"	"6,310"	"1.28"	"18,315,781"	'394800
주		에스피소프트	"11,556"	"8,550"	"-6.35"	"1,344,198"	'443670
신		LS마린솔루션	"23,549"	"13,500"	"-2.60"	"1,676,019"	'060370
신		셀바스AI	"17,917"	"14,440"	"1.69"	"1,265,354"	'108860
경		윙입푸드	"10,584"	"2,110"	"-10.02"	"4,715,225"	'900340
신		일신석재	"20,704"	"1,696"	"-2.97"	"11,805,948"	'007110
신		DS단석	"244,108"	"59,400"	"4.21"	"4,056,406"	'017860
신		핑거	"29,973"	"11,200"	"5.36"	"2,713,982"	'163730
2024-11-26. 화.							
		쓰리빌리언	"119,599"	"6,310"	"1.28"	"18,315,781"	'394800
		위츠	"33,451"	"13,150"	"-9.19"	"2,390,014"	'459100
신		코콤	"2,962"	"4,700"	"-3.98"	"628,714"	'015710
신		제이씨현시스템	"19,110"	"5,050"	"0.80"	"3,896,694"	'033320
증		비보존 제약	"26,879"	"7,270"	"-6.56"	"3,489,216"	'082800
		에이럭스	"24,056"	"9,320"	"-2.82"	"2,587,674"	'475580
2024-11-27. 수.							
신		일신석재	"20,704"	"1,696"	"-2.97"	"11,805,948"	'007110
신		폴라리스AI	"46,500"	"2,950"	"-1.83"	"15,789,159"	'039980
신		폴라리스오피스	"68,871"	"6,530"	"0.46"	"10,344,912"	'041020
신		이스트소프트	"112,224"	"24,050"	"4.57"	"4,605,005"	'047560
신		아난티	"6,336"	"5,460"	"0.37"	"1,168,838"	'025980
신		M83	"68,048"	"15,320"	"-7.10"	"4,150,671"	'476080
신		나이벡	"3,037"	"15,070"	"-3.40"	"200,023"	'138610
경		이오플로우	"51,316"	"11,360"	"11.92"	"4,660,996"	'294090
		차이커뮤니케이션	"13,165"	"12,600"	"-1.41"	"1,010,404"	'351870
신		자람테크놀로지	"116,716"	"39,950"	"19.79"	"3,003,751"	'389020
2024-11-28. 목.							
신		DS단석	"244,108"	"59,400"	"4.21"	"4,056,406"	'017860
신		넥스트바이오메디컬	"179,812"	"42,850"	"-2.28"	"3,892,340"	'389650
신		이엔셀	"24,302"	"15,820"	"-6.56"	"1,485,798"	'456070
신		에스오에스랩	"154,612"	"9,370"	"-2.50"	"15,633,076"	'464080
신		셀트리온제약	"21,429"	"56,600"	"-2.92"	"372,946"	'068760
증		금양	"46,096"	"29,500"	"-7.38"	"1,510,189"	'001570
