분	신	종목명	거래대금	현재가	등락률	거래량	종목코드
2024-10-23 시원하지 않네							
신		한국파마	"630"	"16,400"	"-2.15"	"38,151"	'032300
신		YG PLUS	"12,407"	"4,850"	"0.41"	"2,564,611"	'037270
증		샤페론	"4,170"	"3,615"	"-6.59"	"1,140,880"	'378800
신		한일단조	"71,890"	"2,980"	"11.19"	"23,893,467"	'024740
신		모비데이즈	"3,194"	"1,841"	"-3.76"	"1,703,267"	'363260
신		한화인더스트리얼솔루션즈	"52,738"	"33,400"	"-3.88"	"1,574,523"	'489790
신		네오셈	"3,951"	"9,890"	"-3.23"	"398,155"	'253590
2024-10-24....미리							
증		네이처셀	"24,341"	"22,900"	"2.92"	"1,091,785"	'007390
신		한미사이언스	"20,288"	"32,900"	"-7.84"	"606,163"	'008930
신		YG PLUS	"12,407"	"4,850"	"0.41"	"2,564,611"	'037270
신		전진건설로봇	"20,888"	"26,550"	"-10.61"	"751,936"	'079900
신		셀비온	"47,963"	"12,390"	"-7.33"	"3,469,450"	'308430
신		하이비젼시스템	"2,151"	"15,990"	"-1.30"	"134,903"	'126700
신		엑스게이트	"13,027"	"5,280"	"0.38"	"2,417,399"	'356680
2024-10-25 금.							
신		와이제이링크	"37,587"	"12,850"	"-4.32"	"2,709,101"	'209640
신		에이직랜드	"4,146"	"26,650"	"-4.14"	"151,769"	'445090
신		삼화전기	"3,041"	"28,400"	"-4.05"	"104,712"	'009470
신		폴라리스오피스	"68,871"	"6,530"	"0.46"	"10,344,912"	'041020
신		티웨이항공	"7,811"	"2,945"	"-2.16"	"2,614,892"	'091810
2024-10-28 월.							
신		DS단석	"244,108"	"59,400"	"4.21"	"4,056,406"	'017860
신		YG PLUS	"12,407"	"4,850"	"0.41"	"2,564,611"	'037270
신		지투파워	"9,545"	"8,850"	"-2.75"	"1,087,182"	'388050
신		디어유	"19,736"	"36,450"	"-5.32"	"541,137"	'376300
2024-10-29 화							
신		주성엔지니어링	"11,641"	"27,900"	"-3.63"	"410,471"	'036930
신		우리기술투자	"29,089"	"8,780"	"1.04"	"3,306,310"	'041190
신		핑거	"29,973"	"11,200"	"5.36"	"2,713,982"	'163730
신		유바이오로직스	"5,029"	"12,900"	"0.16"	"387,506"	'206650
신		일신석재	"20,704"	"1,696"	"-2.97"	"11,805,948"	'007110
신		동서	"4,020"	"27,950"	"-1.93"	"142,199"	'026960
신		서울옥션	"4,683"	"7,600"	"2.70"	"587,546"	'063170
증		노을	"58,584"	"2,885"	"-6.33"	"17,999,596"	'376930
2024-10-30. 수.							
