분	신	종목명	거래대금	현재가	등락률	거래량	종목코드
20241002.음							
신		대한전선	"13,133"	"11,310"	"-2.33"	"1,164,883"	'001440
		라이콤	"8,244"	"3,325"	"-0.45"	"2,387,951"	'388790
신		스튜디오미르	"364"	"2,770"	"-1.07"	"131,515"	'408900
증		셀루메드	"1,824"	"2,205"	"-2.22"	"832,084"	'049180
신		알멕	"1,030"	"25,600"	"-4.48"	"39,738"	'354320
20241004. 갭상후. 밀림. 상승마감.							
신		한국석유	"1,454"	"14,260"	"-2.86"	"101,490"	'004090
신		흥구석유	"2,732"	"14,040"	"-1.54"	"194,469"	'024060
신		대화제약	"3,906"	"12,280"	"-4.58"	"314,081"	'067080
신		뱅크웨어글로벌	"1,889"	"5,600"	"-1.93"	"335,808"	'199480
2024.10.07. 상승장.대형위주							
신		TCC스틸	"5,664"	"34,750"	"-5.57"	"161,669"	'002710
신		제일일렉트릭	"6,645"	"9,480"	"-2.97"	"692,431"	'199820
신		원준	"1,422"	"10,000"	"-5.12"	"140,539"	'382840
증		중앙첨단소재	"13,237"	"8,300"	"-5.57"	"1,588,892"	'051980
신		엘앤에프	"29,087"	"98,300"	"-5.84"	"292,638"	'066970
신		시프트업	"10,004"	"58,400"	"0.69"	"169,122"	'462870
2024.10.07. 매집주.검토용							
신		메가터치	"604"	"3,060"	"-5.99"	"193,753"	'446540
신		솔루스첨단소재	"1,559"	"8,780"	"-4.04"	"175,989"	'336370
신		미래반도체	"541"	"11,800"	"-3.28"	"45,740"	'254490
신		강원에너지	"1,700"	"10,700"	"0.75"	"162,904"	'114190
신		삼아알미늄	"1,791"	"36,950"	"-6.22"	"47,961"	'006110
2024-10-08. 하락장							
		LK삼양	"226,503"	"3,470"	"26.64"	"68,668,481"	'225190
신		한화인더스트리얼솔루션즈	"52,738"	"33,400"	"-3.88"	"1,574,523"	'489790
신		대화제약	"3,906"	"12,280"	"-4.58"	"314,081"	'067080
증		펩트론	"39,866"	"81,100"	"-4.48"	"490,826"	'087010
증		태성	"15,742"	"25,800"	"-5.49"	"602,688"	'323280
2024-10-10. 상승후 원복							
신		보락	"456"	"1,100"	"-1.87"	"411,166"	'002760
신		한올바이오파마	"18,280"	"35,900"	"-3.88"	"502,200"	'009420
신		티웨이항공	"7,811"	"2,945"	"-2.16"	"2,614,892"	'091810
