분	신	종목명	거래대금	현재가	등락률	거래량	종목코드

신		나노팀	"92,759"	"9,000"	"12.64"	"9,895,378"	'417010
증		금양	"46,096"	"29,500"	"-7.38"	"1,510,189"	'001570
증		태성	"15,742"	"25,800"	"-5.49"	"602,688"	'323280
신		하이젠알앤엠	"15,768"	"10,450"	"-8.73"	"1,392,871"	'160190
관		삼부토건	"34,608"	"1,055"	"-8.34"	"32,045,682"	'001470
신		아이씨티케이	"3,221"	"6,000"	"-0.50"	"520,466"	'456010
신		KT&G	"48,064"	"121,800"	"0.33"	"389,053"	'033780
신		삼성전자	"1,331,024"	"54,200"	"-2.34"	"24,513,531"	'005930
신		루닛	"115,102"	"68,000"	"1.49"	"1,705,082"	'328130
신		셀바스AI	"17,917"	"14,440"	"1.69"	"1,265,354"	'108860
신		셀바스헬스케어	"9,453"	"5,120"	"-3.03"	"1,864,808"	'208370

